source_center,destination_center,route_type,median_delay_ratio,sla_breach_rate,trip_count,median_distance,median_actual_time,median_osrm_time
IND533106AAA,IND530012AAA,FTL,1.6360294117647058,0.9545454545454546,88,25.072400000000002,28.0,17.0
IND501359AAE,IND562132AAA,FTL,1.5,0.8636363636363636,88,25.94095,28.5,19.0
IND580028AAA,IND403726AAA,FTL,2.235294117647059,1.0,87,27.7627,47.0,19.0
IND516115AAA,IND517501AAB,Carting,2.4444444444444446,1.0,87,9.9212,18.0,7.0
IND210501AAB,IND209304AAA,Carting,2.6,0.8735632183908046,87,11.0696,22.0,8.0
IND712311AAA,IND700026AAC,Carting,2.25,0.9882352941176471,85,12.8095,30.0,13.0
IND517583AAA,IND516101AAA,Carting,2.25,1.0,85,9.6676,15.0,6.0
IND560083AAB,IND562132AAA,Carting,1.4375,0.7411764705882353,85,10.012,16.0,9.0
IND424006AAA,IND421302AAG,FTL,1.9761904761904763,0.9523809523809523,84,24.79595,34.0,17.0
IND395023AAA,IND411033AAA,FTL,1.63768115942029,0.8452380952380952,84,29.92775,39.0,23.0
IND400072AAB,IND000000AFT,Carting,2.4,1.0,84,11.5076,24.0,10.0
IND421302AAG,IND422011AAD,FTL,1.6875,0.8928571428571429,84,25.670650000000002,29.0,18.0
IND160002AAC,IND142001AAB,FTL,1.7058823529411764,0.8333333333333334,84,23.82555,31.0,17.0
IND302014AAA,IND301001AAB,FTL,1.343980343980344,0.7261904761904762,84,26.826299999999996,31.0,23.0
IND641062AAD,IND642126AAA,Carting,1.3333333333333333,0.8192771084337349,83,9.9814,13.0,9.0
IND416602AAC,IND411033AAA,FTL,1.6754385964912282,0.9024390243902439,82,24.81745,35.5,21.0
IND845305AAA,IND842001AAA,FTL,2.789473684210526,0.9382716049382716,81,26.128,53.0,18.0
IND160002AAC,IND562132AAA,FTL,1.5,0.8641975308641975,81,27.6192,35.0,19.0
IND562132AAA,IND515004AAA,FTL,1.3333333333333333,0.6296296296296297,81,24.1409,26.0,21.0
IND249407AAA,IND131028AAB,FTL,2.0,1.0,81,24.2947,55.0,27.0
IND305001AAC,IND306401AAB,FTL,1.8888888888888888,0.9876543209876543,81,23.9303,32.0,17.0
IND600056AAB,IND600110AAA,Carting,1.6754385964912282,0.8875,80,11.2284,18.0,11.0
IND586211AAA,IND585314AAA,Carting,1.6055555555555556,0.85,80,11.2989,19.0,11.0
IND577522AAA,IND562132AAA,FTL,1.375,0.775,80,23.8697,23.0,17.0
IND142001AAB,IND152026AAA,FTL,1.6666666666666667,0.9240506329113924,79,23.4732,28.0,17.0
IND600056AAB,IND600044AAE,Carting,1.6,0.7088607594936709,79,14.1633,23.0,16.0
IND503111AAC,IND501359AAE,FTL,1.5444444444444445,0.8589743589743589,78,28.24405,29.0,20.0
IND411033AAA,IND411014AAA,Carting,2.1409090909090907,0.8461538461538461,78,10.8816,24.0,11.0
IND211002AAB,IND485001AAC,FTL,2.359210526315789,1.0,78,31.04985,53.0,22.0
IND560300AAA,IND560058AAB,Carting,1.125,0.46153846153846156,78,10.256599999999999,14.0,10.0
IND845455AAB,IND842001AAA,FTL,2.1666666666666665,1.0,77,24.8347,38.0,18.0
IND121004AAB,IND110037AAM,Carting,2.6,0.987012987012987,77,11.4146,19.0,9.0
IND600056AAB,IND605010AAB,FTL,1.4166666666666667,0.8831168831168831,77,26.3039,34.0,24.0
IND302014AAA,IND110037AAM,FTL,1.4285714285714286,0.7142857142857143,77,25.3715,27.0,20.0
IND283203AAA,IND110037AAM,FTL,1.8571428571428572,0.8051948051948052,77,32.674,45.0,26.0
IND585104AAA,IND586128AAA,Carting,1.4285714285714286,0.8961038961038961,77,10.2972,13.0,9.0
IND382430AAB,IND364004AAB,FTL,1.6153846153846154,0.8311688311688312,77,23.9997,29.0,19.0
IND313001AAB,IND306401AAB,FTL,1.9215384615384616,0.9868421052631579,76,27.94685,41.0,20.0
IND160002AAC,IND140901AAA,Carting,1.2857142857142858,0.5466666666666666,75,10.623,14.0,12.0
IND382430AAB,IND389001AAA,FTL,1.6842105263157894,0.9733333333333334,75,25.9853,32.0,19.0
IND502220AAC,IND501359AAE,FTL,1.52,0.6266666666666667,75,32.9676,32.0,23.0
IND421302AAG,IND400015AAB,Carting,2.1,0.9333333333333333,75,10.6323,15.0,7.0
IND561202AAB,IND515134AAA,Carting,1.7638888888888888,0.8513513513513513,74,9.760449999999999,16.0,9.0
IND273304AAA,IND273014AAB,Carting,2.447619047619048,0.8648648648648649,74,11.01265,22.0,12.0
IND792130AAB,IND786001AAB,Carting,3.0555555555555554,1.0,74,10.443549999999998,20.0,9.0
IND600016AAB,IND600044AAC,Carting,2.0,0.9459459459459459,74,10.216000000000001,17.0,8.0
IND781018AAB,IND712311AAA,FTL,2.0377492877492878,0.9864864864864865,74,29.286749999999998,50.5,20.5
IND422011AAD,IND421302AAG,FTL,1.8421052631578947,0.958904109589041,73,25.7573,30.0,18.0
IND515134AAA,IND515201AAA,Carting,1.6666666666666667,0.9861111111111112,72,10.57715,16.0,9.0
IND794101AAA,IND781018AAB,FTL,2.246212121212121,1.0,72,25.34675,43.5,17.0
IND521225AAB,IND501359AAE,FTL,1.5513784461152882,0.9027777777777778,72,26.87865,34.5,21.0
IND642001AAA,IND641062AAD,Carting,1.4083333333333332,0.8055555555555556,72,9.99025,13.0,10.0
