source_id,destination_id,source,destination,delay_ratio,breach_rate,trip_count,route_type,median_distance
IND603301AAA,IND600044AAD,Malemruvathur_Achipkam_D (Tamil Nadu),Chennai_Chrompet_DPC (Tamil Nadu),1.6666666666666667,0.7613636363636364,88,Carting,9.78315
IND733201AAA,IND733202AAB,Dalkhola_DltprDPP_D (West Bengal),Islampure_ShbdnDPP_D (West Bengal),1.6666666666666667,0.6666666666666666,3,FTL,25.0877
IND212501AAA,IND212402AAA,Soraon_BypassRD_D (Uttar Pradesh),Phulpur_Shekhpur_D (Uttar Pradesh),1.6666666666666667,1.0,23,Carting,9.1301
IND560300AAA,IND563101AAB,Bengaluru_KGAirprt_HB (Karnataka),Kolar_Ambedkar_D (Karnataka),1.6666666666666667,0.896551724137931,29,Carting,10.066
IND821115AAB,IND209304AAA,Sasaram_Central_I_2 (Bihar),Kanpur_Central_H_6 (Uttar Pradesh),1.6666666666666667,0.8484848484848485,99,FTL,25.439400000000003
IND201301AAF,IND201304AAA,Noida_Sec 02_DPC (Uttar Pradesh),Noida_Sec-83_DC (Uttar Pradesh),1.6666666666666667,1.0,13,Carting,11.2965
IND361001AAA,IND361305AAC,Jamnagar_Dc (Gujarat),Khambhalia_JdswarRD_D (Gujarat),1.6666666666666667,1.0,27,FTL,23.577
IND520011AAA,IND521185AAA,Vijayawada (Andhra Pradesh),Nandigama_Chndrlpd_D (Andhra Pradesh),1.6666666666666667,0.9259259259259259,27,Carting,10.5934
IND413401AAA,IND411033AAA,Barshi_Kurduwdi_D (Maharashtra),Pune_Tathawde_H (Maharashtra),1.6666666666666667,0.8888888888888888,117,FTL,25.8302
IND515134AAA,IND515201AAA,Puttaprthi_Gokulam_D (Andhra Pradesh),Hindupur_Parigi_D (Andhra Pradesh),1.6666666666666667,0.9861111111111112,72,Carting,10.57715
IND160102AAC,IND160002AAC,Chandigarh_Raiprvlg_L (Chandigarh),Chandigarh_Mehmdpur_H (Punjab),1.6666666666666667,0.7789473684210526,95,Carting,9.9002
IND142001AAB,IND152026AAA,Moga_DPC (Punjab),Muktsar_DPC (Punjab),1.6666666666666667,0.9240506329113924,79,FTL,23.4732
IND322230AAA,IND322241AAA,Hindaun_MndwrRod_D (Rajasthan),Karauli_HnsChowk_D (Rajasthan),1.6666666666666667,0.9024390243902439,41,Carting,9.8196
IND396445AAA,IND396321AAA,Navsari_DC (Gujarat),Bilimora_DC (Gujarat),1.6666666666666667,1.0,18,Carting,11.40755
IND530012AAA,IND532001AAB,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),Srikakulam_Kuslpram_I (Andhra Pradesh),1.6666666666666667,0.9333333333333333,165,Carting,10.1526
IND712311AAA,IND712310AAE,Kolkata_Dankuni_HB (West Bengal),Kolkata_North_I_4 (West Bengal),1.6666666666666667,1.0,1,Carting,12.8884
IND322201AAA,IND303503AAA,Gangapur_Ward6DPP_D (Rajasthan),Lalsot_NWclyDPP_D (Rajasthan),1.6666666666666667,0.9487179487179487,39,Carting,9.6799
IND458001AAB,IND458990AAA,Mandsaur_YashDPP_D (Madhya Pradesh),Sitamau_Central_DPP_1 (Madhya Pradesh),1.6666666666666667,0.75,12,FTL,15.445049999999998
IND563131AAB,IND560300AAB,Bangarapet_KolarRd_D (Karnataka),Bangalore_East_I_20 (Karnataka),1.6666666666666667,0.7857142857142857,14,Carting,12.5994
IND303503AAA,IND302014AAB,Lalsot_NWclyDPP_D (Rajasthan),Jaipur_Central_I_7 (Rajasthan),1.6666666666666667,0.8723404255319149,47,Carting,12.2708
IND621802AAA,IND621212AAA,Jayamkondan_Chithbrm_D (Tamil Nadu),Perambalur_goplpurm_D (Tamil Nadu),1.6666666666666667,1.0,3,FTL,27.1685
IND508001AAA,IND501359AAE,Nalgonda_HydRoad_DC (Telangana),Hyderabad_Shamshbd_H (Telangana),1.6666666666666667,0.9571428571428572,70,FTL,26.52205
IND523002AAA,IND600056AAB,Ongole_SubhVRTL_I (Andhra Pradesh),MAA_Poonamallee_HB (Tamil Nadu),1.6666666666666667,0.8865248226950354,141,FTL,25.152099999999997
IND416510AAA,IND416606AAA,Sawantwadi_LaxmiNgr_D (Maharashtra),Malvan_BllvMarg_D (Maharashtra),1.6666666666666667,0.868421052631579,38,Carting,11.6664
IND380005AAA,IND382430AAB,Amd_Chandkheda_Dc (Gujarat),Ahmedabad_East_H_1 (Gujarat),1.6666666666666667,1.0,3,Carting,13.1951
IND282001AAA,IND110037AAM,Agra_Idgah_P (Uttar Pradesh),Delhi_Airport_H (Delhi),1.6666666666666667,0.7719298245614035,57,Carting,10.8925
IND360530AAB,IND362001AAA,Jamjodhpur_Court_D (Gujarat),Junagadh_DPC (Gujarat),1.6666666666666667,0.8857142857142857,70,Carting,10.82385
IND505184AAC,IND505001AAB,Manthani_Chaitnya_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),1.6666666666666665,1.0,18,FTL,24.2584
IND501101AAB,IND501359AAE,Vikarabad_Central_DPP_2 (Telangana),Hyderabad_Shamshbd_H (Telangana),1.6666666666666665,0.8333333333333334,6,Carting,10.929300000000001
IND501359AAE,IND000000ACB,Hyderabad_Shamshbd_H (Telangana),Gurgaon_Bilaspur_HB (Haryana),1.6656346749226005,0.875,56,FTL,27.50155
IND574117AAA,IND576101AAA,Uchila_Busstand_D (Karnataka),Udupi (Karnataka),1.6614906832298137,1.0,2,FTL,24.751350000000002
IND631102AAA,IND600056AAB,Sholinghur_ArkonmRD_D (Tamil Nadu),MAA_Poonamallee_HB (Tamil Nadu),1.660919540229885,1.0,36,FTL,28.9394
IND581110AAE,IND577002AAA,Haveri_GuttalRD_D (Karnataka),Davangere_Central_I_1 (Karnataka),1.6607142857142856,0.9375,16,Carting,9.6069
IND516390AAA,IND515004AAA,Pulivendula_RTCStand_D (Andhra Pradesh),Anantapur_KamaStrt_I (Andhra Pradesh),1.6594202898550725,0.9722222222222222,36,FTL,24.6998
IND396191AAB,IND421302AAG,Vapi_IndEstat_L (Gujarat),Bhiwandi_Mankoli_HB (Maharashtra),1.6578947368421053,0.75,12,FTL,27.436
IND145001AAA,IND176201AAA,Pathankot_DC (Punjab),Jassur_AadiDPP_D (Himachal Pradesh),1.6577380952380953,1.0,6,FTL,17.476149999999997
IND577201AAA,IND562132AAA,Shimoga_DC (Karnataka),Bangalore_Nelmngla_H (Karnataka),1.656862745098039,0.77,100,FTL,25.3946
IND201007AAA,IND201001AAA,GZB_Mohan_Nagar_DPC (Uttar Pradesh),Ghaziabad_Patel Nagar (Uttar Pradesh),1.6553030303030303,1.0,2,Carting,10.4372
IND503111AAC,IND503185AAA,Kamareddy_Devenply_I (Telangana),Bodhan_SuryaDPP_D (Telangana),1.6521739130434783,0.9333333333333333,45,FTL,28.5604
